2015-04-01T11:16:22.494+0300 W -        [initandlisten] Detected unclean shutdown - C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.lock is not empty.
2015-04-02T18:54:58.921+0300 I JOURNAL  [journal writer] Journal writer thread stopped
2015-04-02T18:54:58.921+0300 I JOURNAL  [durability] Durability thread stopped
2015-04-02T18:54:58.921+0300 I STORAGE  [consoleTerminate] shutdown: closing all files...
2015-04-02T18:54:58.926+0300 I STORAGE  [consoleTerminate] closeAllFiles() finished
2015-04-02T18:54:58.926+0300 I STORAGE  [consoleTerminate] shutdown: removing fs lock...
2015-04-02T18:54:58.926+0300 I CONTROL  [consoleTerminate] dbexit:  rc: 12
2015-04-02T18:55:02.445+0300 I CONTROL  ***** SERVER RESTARTED *****
2015-04-02T18:55:02.478+0300 I JOURNAL  [initandlisten] journal dir=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\journal
2015-04-02T18:55:02.478+0300 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-04-02T18:55:02.497+0300 I JOURNAL  [durability] Durability thread started
2015-04-02T18:55:02.498+0300 I JOURNAL  [journal writer] Journal writer thread started
2015-04-02T18:55:02.498+0300 I CONTROL  [initandlisten] MongoDB starting : pid=6304 port=27017 dbpath=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data 64-bit host=hjusein-pc
2015-04-02T18:55:02.498+0300 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-04-02T18:55:02.498+0300 I CONTROL  [initandlisten] db version v3.0.1
2015-04-02T18:55:02.498+0300 I CONTROL  [initandlisten] git version: 534b5a3f9d10f00cd27737fbcd951032248b5952
2015-04-02T18:55:02.498+0300 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1j-fips 15 Oct 2014
2015-04-02T18:55:02.498+0300 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-04-02T18:55:02.498+0300 I CONTROL  [initandlisten] allocator: system
2015-04-02T18:55:02.498+0300 I CONTROL  [initandlisten] options: { config: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.conf", net: { bindIp: "127.0.0.1", port: 27017 }, storage: { dbPath: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.log", quiet: true } }
2015-04-02T18:55:02.517+0300 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-04-02T18:55:05.666+0300 I CONTROL  CTRL_CLOSE_EVENT signal
2015-04-02T18:55:05.666+0300 I CONTROL  [consoleTerminate] got CTRL_CLOSE_EVENT, will terminate after current cmd ends
2015-04-02T18:55:05.666+0300 I CONTROL  [consoleTerminate] now exiting
2015-04-02T18:55:05.666+0300 I NETWORK  [consoleTerminate] shutdown: going to close listening sockets...
2015-04-02T18:55:05.666+0300 I NETWORK  [consoleTerminate] closing listening socket: 396
2015-04-02T18:55:05.666+0300 I NETWORK  [consoleTerminate] shutdown: going to flush diaglog...
2015-04-02T18:55:05.666+0300 I NETWORK  [consoleTerminate] shutdown: going to close sockets...
2015-04-02T18:55:05.666+0300 I STORAGE  [consoleTerminate] shutdown: waiting for fs preallocator...
2015-04-02T18:55:05.666+0300 I STORAGE  [consoleTerminate] shutdown: final commit...
2015-04-02T18:55:05.671+0300 I JOURNAL  [consoleTerminate] journalCleanup...
2015-04-02T18:55:05.675+0300 I JOURNAL  [consoleTerminate] removeJournalFiles
2015-04-02T18:55:05.675+0300 I JOURNAL  [consoleTerminate] Terminating durability thread ...
2015-04-02T18:55:05.769+0300 I JOURNAL  [journal writer] Journal writer thread stopped
2015-04-02T18:55:05.769+0300 I JOURNAL  [durability] Durability thread stopped
2015-04-02T18:55:05.769+0300 I STORAGE  [consoleTerminate] shutdown: closing all files...
2015-04-02T18:55:05.774+0300 I STORAGE  [consoleTerminate] closeAllFiles() finished
2015-04-02T18:55:05.774+0300 I STORAGE  [consoleTerminate] shutdown: removing fs lock...
2015-04-02T18:55:05.774+0300 I CONTROL  [consoleTerminate] dbexit:  rc: 12
2015-04-02T18:55:40.505+0300 I CONTROL  ***** SERVER RESTARTED *****
2015-04-02T18:55:40.535+0300 I JOURNAL  [initandlisten] journal dir=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\journal
2015-04-02T18:55:40.535+0300 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-04-02T18:55:40.556+0300 I JOURNAL  [durability] Durability thread started
2015-04-02T18:55:40.556+0300 I JOURNAL  [journal writer] Journal writer thread started
2015-04-02T18:55:40.556+0300 I CONTROL  [initandlisten] MongoDB starting : pid=4932 port=27017 dbpath=C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data 64-bit host=hjusein-pc
2015-04-02T18:55:40.556+0300 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-04-02T18:55:40.556+0300 I CONTROL  [initandlisten] db version v3.0.1
